 4  5 28 34 38 39 47
10 13 15 16 21 23 39
13 19 23 26 34 46 48
 2 13 20 23 24 45 49
17 20 26 30 34 39 47
14 21 24 29 30 42 44
 6 11 16 17 18 33 35
 3  5 19 23 25 38 40
 2 11 28 44 46 47 48
 3  4  8 21 39 47 49
 5  7 32 35 36 47 49
12 17 24 33 36 38 45
 6 17 22 28 34 41 47
 8 12 13 19 25 30 43
 2  5 11 17 21 25 32
14 17 18 24 27 32 43
 9 13 16 21 24 32 38
 4  5  9 12 14 19 21
11 20 30 31 36 48 49
 2  6 10 22 27 39 42
 6 19 22 39 40 42 47
 9 19 22 27 32 40 43
 5  9 25 26 27 47 49
 4  5 18 22 34 45 46
 1  5  7 13 14 26 47
10 13 19 22 42 45 48
 6 19 27 30 40 41 48
 2  4 20 25 28 29 48
 4  7 10 13 20 30 33
 2 13 23 25 31 36 44
 5  6  9 20 26 34 42
 9 17 20 25 35 45 49
 3  7 10 23 27 30 37
 6 14 23 24 31 46 47
10 14 18 19 31 38 40
 1  3  4  7 11 24 49
 7 11 12 15 24 39 49
 5  8 13 20 24 28 35
 4 13 26 29 32 38 39
21 29 35 37 40 43 46
 7  9 23 29 34 40 48
12 18 26 28 34 37 41
 5 14 18 21 28 39 42
 5  8 10 14 27 28 31
 6  7 10 12 13 26 44
 8 10 24 25 26 39 45
21 24 33 37 39 40 44
 7 12 18 27 42 44 49
 8 11 24 26 31 32 40
 2 10 11 13 15 26 32
 2  5  9 14 22 26 47
 1  2 10 14 18 38 43
12 14 17 20 26 39 47
 1 10 15 19 21 35 43
 1  3  8 16 21 27 30
 2 26 32 38 44 45 47
13 19 25 29 32 36 47
13 20 26 30 42 44 45
 2 24 30 36 43 44 47
 3  9 18 22 36 39 49
 5  7 11 12 13 23 26
 1 25 26 30 32 38 43
 2 13 18 21 36 41 43
 7 14 18 26 38 48 49
 8 14 17 22 24 46 48
22 23 25 30 40 43 45
 4 10 19 40 44 46 47
 7  8 31 35 38 44 48
 1  3  6 16 26 27 47
13 23 24 26 33 35 42
 7  9 10 15 29 32 36
11 12 14 30 31 40 45
 4  9 18 38 41 45 48
 8 20 21 34 37 45 48
 9 10 15 16 18 29 45
 2  5 20 27 40 41 47
 5  7 25 33 38 40 43
 8 13 15 33 37 38 43
 1  3  4  6 13 29 38
 2  9 11 12 19 29 46
 9 10 25 30 31 34 41
 2  4 24 26 41 43 48
 8 12 21 25 41 45 47
12 13 14 27 30 35 37
 3 19 23 25 31 38 41
 9 13 17 29 33 36 44
 2  5 14 18 26 45 47
10 13 15 16 32 34 47
 1  3  8 24 28 36 37
10 21 22 24 30 38 39
 3 13 31 35 36 41 45
 2 20 21 34 41 44 48
 2  5 27 28 35 40 44
 9 17 21 29 45 46 49
19 33 36 38 43 46 48
 3 14 17 23 26 27 43
 2  6 24 30 31 32 35
 3 10 21 26 37 42 48
 3 15 24 25 30 40 49
 2  3  5 11 25 29 31
 1 12 20 22 24 28 33
 7  9 16 36 38 41 43
 3  5 21 23 27 29 30
 3  4  9 12 18 32 44
 1 14 16 18 27 42 44
 4  7 25 29 41 42 45
 2  8 10 16 17 24 39
 7 16 27 30 31 34 38
 1 15 25 29 36 38 47
 9 11 12 14 15 21 44
 8 16 17 20 21 38 39
 8 11 15 17 33 39 41
 2  5 16 25 29 32 48
 6 20 35 42 43 44 45
 9 17 21 23 26 34 45
 9 14 25 27 29 31 36
 9 12 30 43 45 48 49
 7 13 21 23 27 33 43
 1 14 20 27 35 41 46
 8 21 36 39 40 42 47
 4  9 22 29 46 47 49
 4  6 15 16 17 19 47
 6 12 23 26 30 32 49
22 24 25 28 42 43 49
 6 22 28 36 38 43 47
 8  9 12 24 30 35 48
 8 24 25 34 41 48 49
12 19 30 32 36 37 48
 4  6  8  9 14 24 38
 4 16 20 21 30 42 48
 1  2  4 21 31 38 46
 6 16 21 29 32 33 41
 4  7 19 20 22 26 37
 2  3  8 24 28 34 45
11 21 23 26 40 43 44
16 19 20 32 34 44 46
 1 21 27 29 31 37 45
 7 12 17 20 24 30 32
11 13 19 25 29 31 33
 9 12 14 19 25 47 48
 8 14 25 33 40 41 43
 4 34 35 36 43 44 46
 9 12 19 25 30 38 46
 9 19 26 28 29 47 48
 8 16 17 19 25 33 38
 5 22 25 26 31 36 43
 5 30 32 33 40 41 43
 2 32 38 41 42 44 46
 3 17 18 29 34 37 49
 4 12 16 24 28 36 38
 2  3 15 29 35 40 41
 8 14 22 23 24 27 39
 4  6 13 21 36 40 44
 1  2  6 10 11 23 44
 4 14 16 25 28 29 38
 2  4 10 21 36 41 49
